,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
116,0.47220783233642577,0.03798221589113409,0.012185430526733399,0.0019515207235663576,10,sqrt,1,10,300,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300}",0.770949720670391,0.8146067415730337,0.8089887640449438,0.8146067415730337,0.8314606741573034,0.808122528403741,0.02005655547211871,121
117,0.17201719284057618,0.009551049068696575,0.005581426620483399,0.0012018241365395318,10,sqrt,2,2,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.7932960893854749,0.8202247191011236,0.8146067415730337,0.8202247191011236,0.8370786516853933,0.8170861841692298,0.014082015522148534,20
118,0.34199886322021483,0.02637200789951187,0.009623384475708008,0.0010023966647981256,10,sqrt,2,2,200,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.7597765363128491,0.8089887640449438,0.8089887640449438,0.8202247191011236,0.8370786516853933,0.8070114870378507,0.025758818723766126,127
119,0.4881866455078125,0.03694160047866887,0.014798593521118165,0.00416533752981653,10,sqrt,2,2,300,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",0.7653631284916201,0.8033707865168539,0.8033707865168539,0.8146067415730337,0.8370786516853933,0.804758018956751,0.023226824404539364,144
120,0.17818989753723144,0.026599280145560993,0.0046215057373046875,0.0010154006623306821,10,sqrt,2,5,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.776536312849162,0.8089887640449438,0.8146067415730337,0.8314606741573034,0.8426966292134831,0.8148578243675851,0.022599561204081364,29
121,0.3640094757080078,0.04496681736684456,0.010983419418334962,0.0031677414018481268,10,sqrt,2,5,200,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.7597765363128491,0.8089887640449438,0.8089887640449438,0.8146067415730337,0.8426966292134831,0.8070114870378507,0.026721066903356232,127
122,0.5107048511505127,0.023994952220094578,0.015578985214233398,0.0024042473097921975,10,sqrt,2,5,300,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300}",0.776536312849162,0.8146067415730337,0.8202247191011236,0.8146067415730337,0.8370786516853933,0.8126106333563493,0.019829189185440292,52
123,0.15442633628845215,0.0064081278727755745,0.004973316192626953,0.00091614297195633,10,sqrt,2,10,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",0.770949720670391,0.8033707865168539,0.8033707865168539,0.8089887640449438,0.8370786516853933,0.8047517418868873,0.0210208095356821,147
124,0.3024130821228027,0.004434247782363094,0.007581281661987305,0.0007948913671382078,10,sqrt,2,10,200,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",0.776536312849162,0.8146067415730337,0.8146067415730337,0.8202247191011236,0.8426966292134831,0.8137342288619672,0.021289220794682578,40
125,0.4899925231933594,0.03182997349765533,0.013015317916870116,0.00260249930684883,10,sqrt,2,10,300,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 300}",0.7821229050279329,0.8202247191011236,0.8146067415730337,0.8146067415730337,0.8314606741573034,0.8126043562864854,0.016436353717118237,58
126,0.15484018325805665,0.005753764976378701,0.005176162719726563,0.0011274615772242115,10,sqrt,4,2,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",0.7821229050279329,0.8146067415730337,0.8146067415730337,0.8089887640449438,0.8370786516853933,0.8114807607808675,0.017566384219457103,81
127,0.33698444366455077,0.02813685435128185,0.011211252212524414,0.002964734855118069,10,sqrt,4,2,200,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",0.770949720670391,0.8146067415730337,0.8089887640449438,0.8089887640449438,0.8370786516853933,0.8081225284037412,0.021278253965397908,117
128,0.5042135715484619,0.03101223177997457,0.01418008804321289,0.0025508885071989238,10,sqrt,4,2,300,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 300}",0.776536312849162,0.8202247191011236,0.8089887640449438,0.8089887640449438,0.8370786516853933,0.8103634423451134,0.01979394533763991,90
129,0.171173620223999,0.009726184124769667,0.0048217296600341795,0.0017232566188069105,10,sqrt,4,5,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}",0.7821229050279329,0.8258426966292135,0.8033707865168539,0.8033707865168539,0.8370786516853933,0.8103571652752496,0.01922827056865399,99
130,0.3274427890777588,0.012581834721885168,0.009153652191162109,0.002441696113463142,10,sqrt,4,5,200,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200}",0.7653631284916201,0.8314606741573034,0.8033707865168539,0.8089887640449438,0.8426966292134831,0.8103759964848409,0.026707087441517924,87
131,0.5237257003784179,0.0771157844611778,0.015195941925048828,0.003081692060454158,10,sqrt,4,5,300,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 300}",0.776536312849162,0.8202247191011236,0.8089887640449438,0.8089887640449438,0.848314606741573,0.8126106333563492,0.023066601361685736,56
132,0.21621928215026856,0.017080439741704086,0.006195068359375,0.0009464025902859215,10,sqrt,4,10,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",0.776536312849162,0.8146067415730337,0.8033707865168539,0.8089887640449438,0.8426966292134831,0.8092398468394955,0.021223524179545063,108
133,0.48277740478515624,0.03027898850032224,0.015631389617919923,0.002655139886023158,10,sqrt,4,10,200,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}",0.770949720670391,0.8146067415730337,0.8033707865168539,0.8089887640449438,0.8370786516853933,0.8069989328981233,0.02135105061373863,135
134,0.6740230083465576,0.05996493389840975,0.019180965423583985,0.0025612145323555533,10,sqrt,4,10,300,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 300}",0.776536312849162,0.8202247191011236,0.8146067415730337,0.8089887640449438,0.8426966292134831,0.8126106333563493,0.021361649907350955,52
135,0.24525341987609864,0.01830050806723012,0.00944066047668457,0.0023603005694249604,10,log2,1,2,100,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.770949720670391,0.8089887640449438,0.7921348314606742,0.8202247191011236,0.8370786516853933,0.8058753373925052,0.02279405716621421,140
